felis	catus
Gallus	gallus
Pan	troglodytes
Bos	taurus
Canis	sp.
Elephas	maximus
Discoglossus	pictus
takifugu	sp.
Hylobates	sp.
Gorilla	gorilla
Carpodacus	mexicanus
cavia	porcellus
Equus	caballus
Homo	sapiens
Lampetra	fluviatilis
Sceloporus	occidentalis
Callithrix	argentata
Oryzias	latipes
Mus	Musculus
Didelphis	virginiana
Pongo	pygmaeus
Ailuropoda	melanoleuca
Sus	scrofa
Oryctolagus	cuniculus
Rattus	norvegicus
macaca	mulatta
Ceratotherium	simum
Ovis	aries
Gasterosteus	aculeatus
Echinops	telfairi
Tetraodon	nigroviridis
Meleagris	gallopavo
Xenopus	tropicalis
Taeniopygia	guttata
Danio	rerio
